ID,Value,Index,Flags,EnumID
2159,Require All Targets,58,0,134
2160,Discount Power On Miss,59,0,134
2161,No Aura Icon,60,0,134
2162,Name in Channel Bar,61,0,134
2163,Combo on Block (Mainline: Dispel All Stacks),62,0,134
2164,Cast When Learned,63,0,134
2165,Allow Dead Target,64,0,134
2166,No shapeshift UI,65,0,134
2167,Ignore Line of Sight,66,0,134
2168,Allow Low Level Buff,67,0,134
2169,Use Shapeshift Bar,68,0,134
2170,Auto Repeat,69,0,134
2171,Cannot cast on tapped,70,0,134
2172,Do Not Report Spell Failure,71,0,134
2173,Include In Advanced Combat Log,72,0,134
2174,Always Cast As Unit,73,0,134
2175,Special Taming Flag,74,0,134
2176,No Target Per-Second Costs,75,0,134
2177,Chain From Caster,76,0,134
2178,Enchant own item only,77,0,134
2179,Allow While Invisible,78,0,134
2180,Do Not Consume if Gained During Cast,79,0,134
2181,No Active Pets,80,0,134
2182,Do Not Reset Combat Timers,81,0,134
2183,No Jump While Cast Pending,82,0,134
2184,Allow While Not Shapeshifted (caster form),83,0,134
2185,Initiate Combat Post-Cast (Enables Auto-Attack),84,0,134
2186,Fail on all targets immune,85,0,134
2187,No Initial Threat,86,0,134
2188,Proc Cooldown On Failure,87,0,134
2189,Item Cast With Owner Skill,88,0,134
2190,Don't Block Mana Regen,89,0,134
2191,No School Immunities,90,0,134
2192,Ignore Weaponskill,91,0,134
2193,Not an Action,92,0,134
2194,Can't Crit,93,0,134
2195,Active Threat,94,0,134
2196,Retain Item Cast,95,0,134
2197,PvP Enabling,96,0,134
2198,No Proc Equip Requirement,97,0,134
2199,No Casting Bar Text,98,0,134
2200,Completely Blocked,99,0,134
2201,No Res Timer,100,0,134
2202,No Durability Loss,101,0,134
2203,No Avoidance,102,0,134
2204,DoT Stacking Rule,103,0,134
2205,Only On Player,104,0,134
2206,Not a Proc,105,0,134
2207,Requires Main-Hand Weapon,106,0,134
2208,Only Battlegrounds,107,0,134
2209,Only On Ghosts,108,0,134
2210,Hide Channel Bar,109,0,134
2211,Hide In Raid Filter,110,0,134
2212,Normal Ranged Attack,111,0,134
2213,Suppress Caster Procs,112,0,134
2214,Suppress Target Procs,113,0,134
2215,Always Hit,114,0,134
2216,Instant Target Procs,115,0,134
2217,Allow Aura While Dead,116,0,134
2218,Only Proc Outdoors,117,0,134
2219,Casting Cancels Autorepeat (Mainline: Do Not Trigger Target Stand),118,0,134
2220,No Damage History,119,0,134
2221,Requires Off-Hand Weapon,120,0,134
2222,Treat As Periodic,121,0,134
2223,Can Proc From Procs,122,0,134
2224,Only Proc on Caster,123,0,134
2225,Ignore Caster & Target Restrictions,124,0,134
2226,Ignore Caster Modifiers,125,0,134
2227,Do Not Display Range,126,0,134
2228,Not On AOE Immune,127,0,134
2229,No Cast Log,128,0,134
2230,Class Trigger Only On Target,129,0,134
2231,Aura Expires Offline,130,0,134
2232,No Helpful Threat,131,0,134
2233,No Harmful Threat,132,0,134
2234,Allow Client Targeting,133,0,134
2235,Cannot Be Stolen,134,0,134
2236,Allow Cast While Casting,135,0,134
2237,Ignore Damage Taken Modifiers,136,0,134
2238,Combat Feedback When Usable,137,0,134
2239,Weapon Speed Cost Scaling,138,0,134
2240,No Partial Immunity,139,0,134
2241,Aura Is Buff,140,0,134
2242,Do Not Log Caster,141,0,134
2243,Reactive Damage Proc,142,0,134
2244,Not In Spellbook,143,0,134
2245,Not In Arena or Rated Battleground,144,0,134
2246,Ignore Default Arena Restrictions,145,0,134
2247,Bouncy Chain Missiles,146,0,134
2248,Allow Proc While Sitting,147,0,134
2249,Aura Never Bounces,148,0,134
2250,Allow Entering Arena,149,0,134
2251,Proc Suppress Swing Anim,150,0,134
2252,Suppress Weapon Procs,151,0,134
2253,Auto Ranged Combat,152,0,134
2254,Owner Power Scaling,153,0,134
2255,Only Flying Areas,154,0,134
2256,Force Display Castbar,155,0,134
2257,Ignore Combat Timer,156,0,134
2258,Aura Bounce Fails Spell,157,0,134
2259,Obsolete,158,12,134
2260,Use Facing From Spell,159,0,134
2261,Allow Actions During Channel,160,0,134
2262,No Reagent Cost With Aura,161,0,134
2263,Remove Entering Arena,162,0,134
2264,Allow While Stunned,163,0,134
2265,Triggers Channeling,164,0,134
2266,Limit N,165,0,134
2267,Ignore Area Effect PvP Check,166,0,134
2268,Not On Player,167,0,134
2269,Not On Player Controlled NPC,168,0,134
2270,Extra Initial Period,169,0,134
2271,Do Not Display Duration,170,0,134
2272,Implied Targeting,171,0,134
2273,Melee Chain Targeting,172,0,134
2274,Spell Haste Affects Periodic,173,0,134
2275,Not Available While Charmed,174,0,134
2276,Treat as Area Effect,175,0,134
2277,Aura Affects Not Just Req. Equipped Item,176,0,134
2278,Allow While Fleeing,177,0,134
2279,Allow While Confused,178,0,134
2280,AI Doesn't Face Target,179,0,134
2281,Do Not Attempt a Pet Resummon When Dismounting,180,0,134
2282,Ignore Target Requirements,181,0,134
2283,Not On Trivial,182,0,134
2284,No Partial Resists,183,0,134
2285,Ignore Caster Requirements,184,0,134
2286,Always Line of Sight,185,0,134
2287,Always AOE Line of Sight,186,0,134
2288,No Caster Aura Icon,187,0,134
2289,No Target Aura Icon,188,0,134
2290,Aura Unique Per Caster,189,0,134
2291,Always Show Ground Texture,190,0,134
2292,Add Melee Hit Rating,191,0,134
2293,No Cooldown On Tooltip,192,0,134
2294,Do Not Reset Cooldown In Arena,193,0,134
2295,Not an Attack,194,0,134
2296,Can Assist Immune PC,195,0,134
2297,Ignore For Mod Time Rate,196,0,134
2298,Do Not Consume Resources,197,0,134
2299,Floating Combat Text On Cast,198,0,134
2300,Aura Is Weapon Proc,199,0,134
2301,Do Not Chain To Crowd-Controlled Targets,200,0,134
2302,Allow On Charmed Targets,201,0,134
2303,No Aura Log,202,0,134
2304,Not In Raid Instances,203,0,134
2305,Allow While Riding Vehicle,204,0,134
2306,Ignore Phase Shift,205,0,134
2307,AI Primary Ranged Attack,206,0,134
2308,No Pushback,207,0,134
2309,No Jump Pathing,208,0,134
2310,Allow Equip While Casting,209,0,134
2311,Originate From Controller,210,0,134
2312,Delay Combat Timer During Cast,211,0,134
2313,Aura Icon Only For Caster (Limit 10),212,0,134
2314,Show Mechanic as Combat Text,213,0,134
2315,Absorb Cannot Be Ignore,214,0,134
2316,Taps immediately,215,0,134
2317,Can Target Untargetable,216,0,134
2318,Doesn't Reset Swing Timer if Instant,217,0,134
2319,Vehicle Immunity Category,218,0,134
2320,Ignore Healing Modifiers,219,0,134
2321,Do Not Auto Select Target with Initiates Combat,220,0,134
2322,Ignore Caster Damage Modifiers,221,0,134
2323,Disable Tied Effect Points,222,0,134
2324,No Category Cooldown Mods,223,0,134
2325,Allow Spell Reflection,224,0,134
2326,No Target Duration Mod,225,0,134
2327,Disable Aura While Dead,226,0,134
2328,Debug Spell,227,0,134
2329,Treat as Raid Buff,228,0,134
2330,Can Be Multi Cast,229,0,134
2331,Don't Cause Spell Pushback,230,0,134
2332,Prepare for Vehicle Control End,231,0,134
2333,Horde Specific Spell,232,0,134
2334,Alliance Specific Spell,233,0,134
2335,Dispel Removes Charges,234,0,134
2336,Can Cause Interrupt,235,0,134
2337,Can Cause Silence,236,0,134
2338,No UI Not Interruptible,237,0,134
2339,Recast On Resummon,238,0,134
2340,Reset Swing Timer at spell start,239,0,134
2341,Only In Spellbook Until Learned,240,0,134
2342,Do Not Log PvP Kill,241,0,134
2343,Attack on Charge to Unit,242,0,134
2344,Report Spell failure to unit target,243,0,134
2345,"No Client Fail While Stunned, Fleeing, Confused",244,0,134
2346,Retain Cooldown Through Load,245,0,134
2347,Ignores Cold Weather Flying Requirement,246,0,134
2348,No Attack Dodge,247,0,134
2349,No Attack Parry,248,0,134
2350,No Attack Miss,249,0,134
2351,Treat as NPC AoE,250,0,134
2352,Bypass No Resurrect Aura,251,0,134
2353,Do Not Count For PvP Scoreboard,252,0,134
2354,Reflection Only Defends,253,0,134
2355,Can Proc From Suppressed Target Procs,254,0,134
2356,Always Cast Log,255,0,134
2357,No Attack Block,256,0,134
2358,Ignore Dynamic Object Caster,257,0,134
2359,Remove Outside Dungeons and Raids,258,0,134
2360,Only Target If Same Creator,259,0,134
2361,Can Hit AOE Untargetable,260,0,134
2362,Allow While Charmed,261,0,134
2363,Aura Required by Client,262,0,134
2364,Ignore Sanctuary,263,0,134
2365,Use Target's Level for Spell Scaling,264,0,134
2366,Periodic Can Crit,265,0,134
2367,Mirror creature name,266,0,134
2368,Only Players Can Cast This Spell,267,0,134
2369,Aura Points On Client,268,0,134
2370,Not In Spellbook Until Learned,269,0,134
2371,Target Procs On Caster,270,0,134
2372,Requires location to be on liquid surface,271,0,134
2373,Only Target Own Summons,272,0,134
2374,Haste Affects Duration,273,0,134
2375,Ignore Spellcast Override Cost,274,0,134
2376,Allow Targets Hidden by Spawn Tracking,275,0,134
2377,Requires Equipped Inv Types,276,0,134
2378,No 'Summon + Dest from Client' Targeting Pathing Requirement,277,0,134
2379,Melee Haste Affects Periodic,278,0,134
2380,Enforce In Combat Ressurection Limit,279,0,134
2381,Heal Prediction,280,0,134
2382,No Level Up Toast,281,0,134
2383,Skip Is Known Check,282,0,134
2384,AI Face Target,283,0,134
2385,Not in Battleground,284,0,134
2386,Mastery Affects Points,285,0,134
2387,Display Large Aura Icon On Unit Frames (Boss Aura),286,0,134
2388,Can Attack ImmunePC,287,0,134
2389,Force Dest Location,288,0,134
2390,Mod Invis Includes Party,289,0,134
2391,Only When Illegally Mounted,290,0,134
2392,Do Not Log Aura Refresh,291,0,134
2393,Missile Speed is Delay (in sec),292,0,134
2394,Ignore Totem Requirements for Casting,293,0,134
2395,Item Cast Grants Skill Gain,294,0,134
2396,Do Not Add to Unlearn List,295,0,134
2397,Cooldown Ignores Ranged Weapon,296,0,134
2398,Not In Arena,297,0,134
2399,Target Must Be Grounded,298,0,134
2400,Allow While Banished Aura State,299,0,134
2401,Face unit target upon completion of jump charge,300,0,134
2402,Haste Affects Melee Ability Casttime,301,0,134
2403,Ignore Default Rated Battleground Restrictions,302,0,134
2404,Do Not Display Power Cost,303,0,134
2405,Next modal spell requires same unit target,304,0,134
2406,AutoCast Off By Default,305,0,134
2407,Ignore School Lockout,306,0,134
2408,Allow Dark Simulacrum,307,0,134
2409,Allow Cast While Channeling,308,0,134
2410,Suppress Visual Kit Errors,309,0,134
2411,Spellcast Override In Spellbook,310,0,134
2412,JumpCharge - no facing control,311,0,134
2413,Ignore Caster Healing Modifiers,312,0,134
2414,(Programmer Only) Don't consume charge if item deleted,313,0,134
2415,Item Passive On Client,314,0,134
2416,Force Corpse Target,315,0,134
2417,Cannot Kill Target,316,0,134
2418,Log Passive,317,0,134
2419,No Movement Radius Bonus,318,0,134
2420,Channel Persists on Pet Follow,319,0,134
2421,Bypass Visibility Check,320,0,134
2422,Ignore Positive Damage Taken Modifiers,321,0,134
2423,Uses Ranged Slot (Cosmetic Only),322,0,134
2424,Do Not Log Full Overheal,323,0,134
2425,NPC Knockback - ignore doors,324,0,134
2426,Force Non-Binary Resistance,325,0,134
2427,No Summon Log,326,0,134
2428,Ignore instance lock and farm limit on teleport,327,0,134
2429,Area Effects Use Target Radius,328,0,134
2430,Charge/JumpCharge - Use Absolute Speed,329,0,134
2431,Proc cooldown on a per target basis,330,0,134
2432,Lock chest at precast,331,0,134
2433,Use Spell Base Level For Scaling,332,0,134
2434,Reset cooldown upon ending an encounter,333,0,134
2435,Rolling Periodic,334,0,134
2436,Spellbook Hidden Until Overridden,335,0,134
2437,Defend Against Friendly Cast,336,0,134
2438,Allow Defense While Casting,337,0,134
2439,Allow Defense While Channeling,338,0,134
2440,Allow Fatal Duel Damage,339,0,134
2441,Multi-Click Ground Targeting,340,0,134
2442,AoE Can Hit Summoned Invis,341,0,134
2443,Allow While Stunned By Horror Mechanic,342,0,134
2444,Visible only to caster (conversations only),343,0,134
2445,Update Passives on Apply/Remove,344,0,134
2446,Normal Melee Attack,345,0,134
2447,Ignore Feign Death,346,0,134
2448,Caster Death Cancels Persistent Area Auras,347,0,134
2449,Do Not Log Absorb,348,0,134
2450,This Mount is NOT at the account level,349,0,134
2451,Prevent Client Cast Cancel,350,0,134
2452,Enforce Facing on Primary Target Only,351,0,134
2453,Lock Caster Movement and Facing While Casting,352,0,134
2454,Don't Cancel When All Effects are Disabled,353,0,134
2455,Scales with Casting Item's Level,354,0,134
2456,Do Not Log on Learn,355,0,134
2457,Hide Shapeshift Requirements,356,0,134
2458,Absorb Falling Damage,357,0,134
2459,Unbreakable Channel,358,0,134
2460,Ignore Caster's spell level,359,0,134
2461,Transfer Mount Spell,360,0,134
2462,Ignore Spellcast Override Shapeshift Requirements,361,0,134
2463,Newest Exclusive Complete,362,0,134
2464,Not in Instances,363,0,134
2465,Obsolete,364,12,134
2466,Ignore PvP Power,365,0,134
2467,Can Assist Uninteractible,366,0,134
2468,Cast When Initial Logging In,367,0,134
2469,Not in Mythic+ Mode (Challenge Mode),368,0,134
2470,Cheaper NPC Knockback,369,0,134
2471,Ignore Caster Absorb Modifiers,370,0,134
2472,Ignore Target Absorb Modifiers,371,0,134
2473,Hide Loss of Control UI,372,0,134
2474,Allow Harmful on Friendly,373,0,134
2475,Cheap Missile AOI,374,0,134
2476,Expensive Missile AOI,375,0,134
2477,No Client Fail on No Pet,376,0,134
2478,AI Attempt Cast on Immune Player,377,0,134
2479,Allow While Stunned by Stun Mechanic,378,0,134
2480,Don't close loot window,379,0,134
2481,Hide Damage Absorb UI,380,0,134
2482,Do Not Treat As Area Effect,381,0,134
2483,Check Required Target Aura By Caster,382,0,134
2484,Apply Zone Aura Spell To Pets,383,0,134
2485,Enable Procs from Suppressed Caster Procs,384,0,134
2486,Can Proc from Suppressed Caster Procs,385,0,134
2487,Show Cooldown As Charge Up,386,0,134
2488,No PvP Battle Fatigue,387,0,134
2489,Treat Self Cast As Reflect,388,0,134
2490,Do Not Cancel Area Aura on Spec Switch,389,0,134
2491,Cooldown on Aura Cancel Until Combat Ends,390,0,134
2492,Do Not Re-apply Area Aura if it Persists Through Update,391,0,134
2493,Display Toast Message,392,0,134
2494,Active Passive,393,0,134
2495,Ignore Damage Cancels Aura Interrupt,394,0,134
2496,Face Destination,395,0,134
2497,Immunity Purges Spell,396,0,134
2498,Do Not Log Spell Miss,397,0,134
2499,Ignore Distance Check On Charge/Jump Charge Done Trigger Spell,398,0,134
2500,Disable known spells while charmed,399,0,134
2501,Ignore Damage Absorb,400,0,134
2502,Not In Proving Grounds,401,0,134
2503,Override Default SpellClick Range,402,0,134
2504,Is In-Game Store Effect,403,0,134
2505,Allow during spell override,404,0,134
2506,Use float values for scaling amounts,405,0,134
2507,Suppress toasts on item push,406,0,134
2508,Trigger Cooldown On Spell Start,407,0,134
2509,Never Learn,408,0,134
2510,No Deflect,409,0,134
2511,(Deprecated) Use Start-of-Cast Location for Spell Dest,410,0,134
2523,Exclude from Journal if faction doesn't match,2,0,105
2528,B.net Auth Challenge,12,0,2
2529,Recompute Aura on Mercenary Mode,411,8,134
2700,Use Weighted Random For Flex Max Targets,412,0,134
2701,Unknown,0,0,141
2702,1,1,0,141
2703,2,2,0,141
2704,3,3,0,141
2705,4,4,0,141
2717,Ignore Resilience,413,0,134
2718,Apply Resilience To Self Damage,414,0,134
2719,Only Proc From Class Abilities,415,0,134
2720,Allow Class Ability Procs,416,0,134
2721,Allow While Feared By Fear Mechanic,417,0,134
2722,DEPRECATED FLAG 2,5,0,122
2738,In Game Item,0,0,143
2739,Character Upgrade (90),1,0,143
2745,Cooldown Shared With AI Group,418,0,134
2746,Allow No Character assignment,6,0,122
2765,Interrupts Current Cast,419,0,134
2772,In Progress,0,0,149
2773,Complete,1,0,149
2774,Scroll Of Resurrection,0,0,150
2775,New Character Preview,1,0,150
2776,Battleground,2,0,150
2777,Character Upgrade (WoD),3,0,150
2778,No Pickup,0,0,151
2779,Conjured,1,0,151
2780,Has Loot Table,2,0,151
2781,Heroic Tooltip,3,0,151
2782,Deprecated,4,2,151
2783,No User Destroy,5,0,151
2784,Player Cast,6,0,151
2785,No Equip Cooldown,7,0,151
2786,Multi-Loot Quest,8,0,151
2787,Gift Wrap,9,0,151
2788,Uses Resources,10,0,151
2789,Multi Drop,11,0,151
2790,In-Game Refund,12,4,151
2791,Petition,13,0,151
2792,Has Text,14,0,151
2793,No Disenchant,15,0,151
2794,Real Duration,16,0,151
2795,No Creator,17,0,151
2796,Prospectable,18,0,151
2797,Unique Equippable,19,0,151
2798,Disable Auto Qutoes,20,0,151
2799,Ignore Default Arena Restrictions,21,0,151
2800,No Durability Loss,22,0,151
2801,Useable While Shapeshifted,23,0,151
2802,Has Quest Glow,24,0,151
2803,Hide Unusable Recipe,25,0,151
2804,Not Usable In Arena,26,0,151
2805,Bound to Account (must be soulbound),27,4,151
2806,No Reagent Cost,28,0,151
2807,Millable,29,0,151
2808,Report to Guild Chat,30,0,151
2809,Don't use dynamic drop chance (Quest),31,0,151
2810,Horde specific item,32,4,151
2811,Alliance specific item,33,4,151
2812,(deprecated) Don't ignore buy prices when extended cost is specified,34,12,151
2813,Only caster classes can roll need,35,0,151
2814,Only non-caster classes can roll need,36,0,151
2815,Everyone can roll Need,37,0,151
2816,Cannot Trade Bind on Pickup,38,0,151
2817,Can Trade Bind on Pickup,39,0,151
2818,Players can only roll Greed (Need Before Greed only),40,0,151
2819,This is a caster weapon,41,0,151
2820,Delete On Login,42,0,151
2821,Internal test item that players will never be able to see,43,0,151
2822,Vendors will not purchase this item (has no vendor value),44,0,151
2823,Item is a well-known discovered item,45,0,151
2824,Override the automatic cost calculation,46,4,151
2825,Ignore Default Rated Battleground Restrictions,47,0,151
2826,Not Usable In Rated Battleground,48,0,151
2827,Bound to Battle.net Account (must be bound to account),49,4,151
2828,Ask for confirmation before use,50,0,151
2829,Reevaluate binding when transforming to this item,51,0,151
2830,Don't transform when all charges are consumed,52,0,151
2831,Cannot alter this item's visual appearance,53,0,151
2832,Cannot alter items to look like this item,54,0,151
2833,Can be used as a source for item visual regardless of quality,55,0,151
2834,No Durability,56,0,151
2835,"""Tank"" role assignment required in order to get Need +Roll bonus in LFR",57,12,151
2836,"""Healer"" role assignment required in order to get Need +Roll bonus in LFR",58,12,151
2837,"""DPS"" role assignment required in order to get Need +Roll bonus in LFR",59,12,151
2838,Item can drop in Challenge Mode,60,0,151
2839,Don't stack this item in the loot window,61,0,151
2840,Disenchant to Loot Table,62,0,151
2841,Can be placed in reagent bank,63,0,151
2842,Don't destroy on Quest Accept,64,0,151
2843,Item Can Be Upgraded,65,0,151
2844,Upgrade From Item Overrides Drop Upgrade,66,0,151
2845,Always Free For All in Loot,67,0,151
2846,Hide Item Upgrades If Not Upgraded,68,0,151
2847,Update NPC Interactions when picked up,69,0,151
2848,Doesn't leave progressive win history,70,0,151
2849,Ignore Item History Tracker,71,0,151
2850,Ignore Item Level Cap in PvP,72,0,151
2851,Display As Heirloom,73,0,151
2852,Skip use check on pickup,74,0,151
2853,No Loot Overflow Mail,75,0,151
2856,Don't display in guild news,76,0,151
2857,Periodic Script Runs Late,420,0,134
2858,DEPRECATED FLAG 3,7,0,122
2859,Use Auth Expansion Level,8,0,122
2870,Disabled by China Age Gate,9,0,122
2875,Trial of the Gladiator Gear,77,0,151
2876,Requires log line to be generated on stack count change,78,0,151
2879,Internal,0,0,155
2880,Development,1,0,155
2881,Beta,2,0,155
2882,PTR,3,0,155
2883,Tournament,4,0,155
2884,Event,5,0,155
2885,QA,6,0,155
2886,Classic,0,0,156
2887,Burning Crusade,1,0,156
2888,Wrath of the Lich King,2,0,156
2889,Cataclysm,3,0,156
2890,Mists of Pandaria,4,0,156
2891,Warlords of Draenor,5,0,156
2898,Needs Abilities,0,4,161
2899,Needs Loot,1,4,161
2900,"Needs Voiceover (obsolete, use Sound State)",0,0,162
2901,Recipe Hidden Until Known,421,0,134
2902,Can Proc From Lifesteal,422,0,134
2903,Nameplate Personal Buffs/Debuffs,423,0,134
2904,Cannot Lifesteal/Leech,424,0,134
2911,Flat Addition,0,0,164
2912,Multiplier,1,0,164
2913,Player Level,0,0,165
2914,Skill Rank,1,0,165
2915,Progressive Event Miss Count,2,0,165
2916,Progressive Event Won Item Count,3,0,165
2917,Clamp To Minimum,0,0,166
2918,Clamp To Maximum,1,0,166
2919,Set,2,0,164
2920,Number of Looters,4,0,165
2922,Source Level,6,0,165
2923,Instance Group Size,7,0,165
2924,Quest Item Miss Count,8,0,165
2925,Initial PVal,9,0,165
2926,Don't scale up or down if miss count is zero,0,0,167
2927,Instance Event,1,0,167
2928,Can Toggle between Default and Personal Loot,0,0,168
2929,Emblazoned Tabard (Common),0,0,169
2930,No Sheathed Kit During Spell Combat Anims,1,0,169
2931,Hide Pants and Belt,2,0,169
2932,Emblazoned Tabard (Rare),3,0,169
2933,Emblazoned Tabard (Epic),4,0,169
2934,Use Spear Ranged Weapon Attachment,5,0,169
2935,Inherit Character Animation,6,0,169
2936,Mirror Animation from Right Shoulder to Left,7,0,169
2937,Mirror Model When Equipped on Off-Hand,8,0,169
2938,Pet,2,0,143
2939,Mount,3,0,143
2940,External,4,0,143
2941,Suppress Name Suffixes,80,0,151
2944,Toy,79,0,151
2954,Follower Level In Building Type,10,0,165
2955,Follower Quality In Building Type,11,0,165
2957,Mine,1,0,170
2958,Farm,2,0,170
2959,Barn,3,0,170
2960,Lumber Mill,4,0,170
2961,Inn,5,0,170
2962,Trading Post,6,0,170
2963,Pet Stable,7,0,170
2964,Barracks,8,0,170
2966,Armory,10,0,170
2967,Stable,11,0,170
2968,Academy,12,0,170
2969,Mage Tower,13,0,170
2970,Salvage Yard,14,0,170
2971,Storehouse,15,0,170
2972,Alchemy,16,0,170
2973,Blacksmith,17,0,170
2974,Enchanting,18,0,170
2975,Engineering,19,0,170
2976,Inscription,20,0,170
2977,Jewelcrafting,21,0,170
2978,Leatherworking,22,0,170
2979,Tailoring,23,0,170
2980,Fishing,24,0,170
2981,Sparring Arena,25,0,170
2982,Workshop,26,0,170
2989,Global Aura,425,0,134
2990,Zone Infinite AOI,6,0,7
3002,PH 6.1 RVT,0,0,172
3003,Prevent AH Sale,0,0,173
3004,Prevent AH Buy,1,0,173
3005,Use Regional AH,2,0,173
3006,Invalid Currency,0,0,174
3007,US Dollar,1,0,174
3008,UK Pound,2,0,174
3009,Korean Won,3,0,174
3010,Euro,4,0,174
3011,Russian Ruble,5,0,174
3012,Colombian Peso Unsupported,6,0,174
3013,Peruvian Nuevo Unsupported,7,0,174
3014,Argentine Peso,8,0,174
3015,Chilean Peso,9,0,174
3016,Mexican Peso,10,0,174
3017,Brazilian Real Unsupported,11,0,174
3018,Australian Dollar,12,0,174
3019,Singapore Dollar Unsupported,13,0,174
3020,China Battle.net Point,14,0,174
