ID,Achievement_ID,Type,Asset_ID,Quantity,Start_event,Start_asset,Fail_event,Fail_asset,Description_lang,Flags,Timer_start_event,Timer_asset_ID,Timer_time,Ui_order,WorldStateID,RequiredWorldStateStatus,AdditionalConditionType[0],AdditionalConditionType[1],AdditionalConditionType[2],AdditionalConditionValue[0],AdditionalConditionValue[1],AdditionalConditionValue[2]
147,112,26,1,0,0,0,0,0,Deaths from drowning,0,0,0,0,1,0,0,0,0,0,0,0,0
148,113,26,0,0,0,0,0,0,Deaths from fatigue,0,0,0,0,1,0,0,0,0,0,0,0,0
149,114,26,2,0,0,0,0,0,Deaths from falling,0,0,0,0,1,0,0,0,0,0,0,0,0
150,115,26,5,0,0,0,0,0,Deaths from fire and lava,0,0,0,0,1,0,0,0,0,0,0,0,0
162,197,13,0,0,0,0,0,0,Total damage done,0,0,0,0,1,0,0,0,0,0,0,0,0
166,154,1,529,1,0,0,0,0,Win Arathi Basin,2,0,0,0,1,0,0,0,0,0,0,0,0
167,16,7,162,400,0,0,0,0,Unarmed skill raised to 400,1,0,0,0,1,0,0,0,0,0,0,0,0
168,121,7,185,150,0,0,0,0,Obtain 150 skill points in cooking.,2,0,0,0,1,0,0,0,0,0,0,0,0
169,321,18,5,0,0,0,0,0,5 man instances,0,0,0,0,1,0,0,0,0,0,0,0,0
176,155,1,529,100,0,0,0,0,Complete 100 victories in Arathi Basin.,1,0,0,0,1,0,0,0,0,0,0,0,0
177,166,1,489,1,0,0,0,0,Win Warsong Gulch,2,0,0,0,1,0,0,0,0,0,0,0,0
189,477,0,23953,1,0,0,0,0,Prince Keleseth,0,0,0,0,1,0,0,0,0,0,0,0,0
195,478,0,26731,1,0,0,0,0,Grand Magus Telestra,0,0,0,0,1,0,0,0,0,0,0,0,0
199,482,0,26630,1,0,0,0,0,Trollgore,0,0,0,0,1,0,0,0,0,0,0,0,0
203,487,0,27654,1,0,0,0,0,Drakos the Interrogator,0,0,0,0,1,0,0,0,0,0,0,0,0
209,488,0,26693,1,0,0,0,0,Skadi the Ruthless,0,0,0,0,1,0,0,0,0,0,0,0,0
211,479,0,26529,1,0,0,0,0,Meathook,0,0,0,0,1,0,0,0,0,0,0,0,0
215,485,0,27975,1,0,0,0,0,Maiden of Grief,0,0,0,0,1,0,0,0,0,0,0,0,0
218,486,0,28586,1,0,0,0,0,General Bjarngrim,0,0,0,0,1,0,0,0,0,0,0,0,0
221,167,1,489,100,0,0,0,0,Complete 100 victories in Warsong Gulch,1,0,0,0,1,0,0,0,0,0,0,0,0
222,208,1,566,1,0,0,0,0,Win Eye of the Storm.,2,0,0,0,1,0,0,0,0,0,0,0,0
223,209,1,566,100,0,0,0,0,Complete 100 victories in Eye of the Storm,1,0,0,0,1,0,0,0,0,0,0,0,0
224,218,1,30,1,0,0,0,0,Win Alterac Valley.,2,0,0,0,1,0,0,0,0,0,0,0,0
225,219,1,30,100,0,0,0,0,Complete 100 victories in Alterac Valley,1,0,0,0,1,0,0,0,0,0,0,0,0
226,230,8,1167,0,0,0,0,0,Master of Alterac Valley,0,0,0,0,1,0,0,0,0,0,0,0,0
230,503,9,0,50,0,0,0,0,Complete 50 quests,1,0,0,0,1,0,0,0,0,0,0,0,0
231,504,9,0,100,0,0,0,0,Complete 100 quests,1,0,0,0,1,0,0,0,0,0,0,0,0
232,505,9,0,250,0,0,0,0,Complete 250 quests,1,0,0,0,1,0,0,0,0,0,0,0,0
233,506,9,0,500,0,0,0,0,Complete 500 quests,1,0,0,0,1,0,0,0,0,0,0,0,0
234,507,9,0,1000,0,0,0,0,Complete 1000 quests,1,0,0,0,1,0,0,0,0,0,0,0,0
236,508,9,0,1500,0,0,0,0,Complete 1500 quests,1,0,0,0,1,0,0,0,0,0,0,0,0
285,547,27,12499,1,0,0,0,0,Return to Angrathar - Alliance,2,0,0,0,1,0,0,0,0,0,0,0,0
306,397,37,0,1,0,0,0,0,Win 1 ranked arena match,2,0,0,0,1,0,0,0,0,0,0,0,0
307,398,37,0,100,0,0,0,0,Win 100 ranked arena matches,1,0,0,0,1,0,0,0,0,0,0,0,0
308,158,30,122,50,0,0,0,0,Take 50 flags in Arathi Basin,1,0,0,0,1,0,0,0,0,0,0,0,0
318,429,36,17182,1,0,0,0,0,"Sulfuras, Hand of Ragnaros",2,0,0,0,1,0,0,0,0,0,0,0,0
325,426,36,32838,1,0,0,0,0,Warglaive of Azzinoth (Off Hand),2,0,0,0,1,0,0,0,0,0,0,0,0
328,416,27,8743,1,0,0,0,0,Scarab Lord,2,0,0,0,1,0,0,0,0,0,0,0,0
329,399,39,2,1550,0,0,0,0,1550 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
330,402,39,3,1550,0,0,0,0,1550 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
331,406,39,5,1550,0,0,0,0,1550 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
332,400,39,2,1750,0,0,0,0,1750 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
333,403,39,3,1750,0,0,0,0,1750 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
334,407,39,5,1750,0,0,0,0,1750 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
335,401,39,2,2000,0,0,0,0,2000 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
336,405,39,3,2000,0,0,0,0,2000 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
337,404,39,5,2000,0,0,0,0,2000 rating,2,0,0,0,1,0,0,0,0,0,0,0,0
347,561,27,11892,1,0,0,0,0,Assassination of Harold Lane,2,0,0,0,1,0,0,0,0,0,0,0,0
349,411,36,20371,1,0,0,0,0,Blue Murloc Egg,2,0,0,0,1,0,0,0,0,0,0,0,0
350,412,36,33079,1,0,0,0,0,Murloc Costume,2,0,0,0,1,0,0,0,0,0,0,0,0
351,562,0,15956,1,0,0,0,0,Anub'Rekhan,0,0,0,0,1,0,0,20,0,0,0,0,0
357,564,0,16028,1,0,0,0,0,Patchwerk,0,0,0,0,1,0,0,20,0,0,0,0,0
365,566,0,15954,1,0,0,0,0,Noth the Plaguebringer,0,0,0,0,1,0,0,20,0,0,0,0,0
372,568,0,16061,1,0,0,0,0,Instructor Razuvious,0,0,0,0,1,0,0,20,0,0,0,0,0
379,572,0,15989,1,0,0,0,0,Sapphiron,2,0,0,0,1,0,0,20,0,0,0,0,0
381,574,0,15990,1,0,0,0,0,Kel'Thuzad,2,0,0,0,1,0,0,20,0,0,0,0,0
382,575,0,15990,1,0,0,0,0,Kel'Thuzad,2,0,0,0,1,0,0,20,0,0,1,0,0
383,576,8,562,0,0,0,0,0,The Arachnid Quarter,0,0,0,0,1,0,0,0,0,0,0,0,0
389,577,8,563,0,0,0,0,0,The Arachnid Quarter,0,0,0,0,1,0,0,0,0,0,0,0,0
406,306,27,8193,1,0,0,0,0,Win the Booty Bay fishing contest,2,0,0,0,1,0,0,0,0,0,0,0,0
409,255,0,23682,1,0,0,0,0,Headless Horseman,2,0,0,0,1,0,0,0,0,0,0,0,0
414,157,30,123,50,0,0,0,0,Defend 50 bases,1,0,0,0,1,0,0,0,0,0,0,0,0
416,199,30,42,1,0,0,0,0,Capture the flag,2,0,0,0,1,0,0,0,0,0,0,0,0
417,200,30,44,50,0,0,0,0,Return the flag 50 times,1,0,0,0,1,0,0,0,0,0,0,0,0
418,212,30,183,1,0,0,0,0,Capture the flag,2,0,0,0,1,0,0,0,0,0,0,0,0
419,221,30,63,50,0,0,0,0,Take 50 graveyards,1,0,0,0,1,0,0,0,0,0,0,0,0
420,222,30,64,50,0,0,0,0,50 towers defended,1,0,0,0,1,0,0,0,0,0,0,0,0
421,582,30,63,1,3,30,3,30,Assault a graveyard,12,0,0,0,1,0,0,0,0,0,0,0,0
426,583,30,122,2,3,529,3,529,Assault 2 bases,12,0,0,0,1,0,0,0,0,0,0,0,0
431,584,31,3421,5,3,529,3,529,Kill 5 people at the blacksmith,12,0,0,0,1,0,0,0,0,0,0,0,0
436,393,30,64,0,0,0,0,0,Alterac Valley towers defended,0,0,0,0,1,0,0,0,0,0,0,0,0
437,394,30,61,0,0,0,0,0,Alterac Valley towers captured,0,0,0,0,1,0,0,0,0,0,0,0,0
438,585,30,183,0,0,0,0,0,Eye of the Storm flag captures,0,0,0,0,1,0,0,0,0,0,0,0,0
439,395,30,42,0,0,0,0,0,Warsong Gulch flags captured,0,0,0,0,1,0,0,0,0,0,0,0,0
440,586,30,44,0,0,0,0,0,Warsong Gulch flags returned,0,0,0,0,1,0,0,0,0,0,0,0,0
441,587,31,3870,5,3,566,3,566,Kill 5 people at the Blood Elf Tower,12,0,0,0,1,0,0,0,0,0,0,0,0
447,595,39,3,0,0,0,0,0,Highest 3 man personal rating,0,0,0,0,1,0,0,0,0,0,0,0,0
448,374,38,2,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0
449,590,38,3,0,0,0,0,0,Highest 3 man team rating,0,0,0,0,1,0,0,0,0,0,0,0,0
450,589,38,5,0,0,0,0,0,Highest 5 man team rating,0,0,0,0,1,0,0,0,0,0,0,0,0
451,370,39,2,0,0,0,0,0,Highest 2 man personal rating,0,0,0,0,1,0,0,0,0,0,0,0,0
452,596,39,5,0,0,0,0,0,Highest 5 man personal rating,0,0,0,0,1,0,0,0,0,0,0,0,0
455,594,20,448,0,0,0,0,0,Deaths from Hogger,0,0,0,0,1,0,0,0,0,0,0,0,0
456,58,20,11946,0,0,0,0,0,Killed by Drek'Thar,0,0,0,0,1,0,0,0,0,0,0,0,0
472,605,36,21100,1,0,0,0,0,Receive a Coin of Ancestry.,2,0,0,0,1,0,0,0,0,0,0,0,0
473,606,36,21100,5,0,0,0,0,Receive 5 Coins of Ancestry,1,0,0,0,1,0,0,0,0,0,0,0,0
474,607,36,21100,10,0,0,0,0,Receive 10 Coins of Ancestry,1,0,0,0,1,0,0,0,0,0,0,0,0
475,608,36,21100,25,0,0,0,0,Receive 25 Coins of Ancestry,1,0,0,0,1,0,0,0,0,0,0,0,0
476,609,36,21100,50,0,0,0,0,Receive 50 Coins of Ancestry,1,0,0,0,1,0,0,0,0,0,0,0,0
477,263,0,25740,1,0,0,0,0,Ahune,2,0,0,0,1,0,0,0,0,0,0,0,0
478,273,27,7043,1,0,0,0,0,Metzen saved,2,0,0,0,1,0,0,0,0,0,0,0,0
480,610,0,39605,1,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,0,0
481,611,0,36648,1,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,0,0
482,612,0,10181,1,0,0,0,0,Lady Sylvanas Windrunner,2,0,0,0,1,0,0,0,0,0,0,0,0
483,613,0,16802,1,0,0,0,0,Lor'themar Theron,2,0,0,0,1,0,0,0,0,0,0,0,0
484,614,8,610,0,0,0,0,0,Death to the Warchief!,0,0,0,0,1,0,0,0,0,0,0,0,0
489,616,0,42129,1,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,0,0
490,617,0,7999,1,0,0,0,0,High Priestess Tyrande Whisperwind,2,0,0,0,1,0,0,0,0,0,0,0,0
491,618,0,17468,1,0,0,0,0,Prophet Velen,2,0,0,0,1,0,0,0,0,0,0,0,0
492,619,8,615,0,0,0,0,0,Storming Stormwind,0,0,0,0,1,0,0,0,0,0,0,0,0
496,626,36,21541,1,0,0,0,0,Festive Black Pant Suit,2,0,0,0,1,0,0,0,0,0,0,0,0
502,627,43,117,1,0,0,0,0,Coldridge Pass,0,0,0,0,1,0,0,0,0,0,0,0,0
520,622,0,28859,1,0,0,0,0,Malygos,2,0,0,0,1,0,0,20,0,0,0,0,0
521,623,0,28859,1,0,0,0,0,Malygos,2,0,0,0,1,0,0,20,0,0,1,0,0
523,625,0,28860,1,0,0,0,0,Sartharion the Onyx Guardian,2,0,0,0,1,0,0,20,0,0,1,0,0
524,628,0,47739,1,0,0,0,0,"""Captain"" Cookie",2,0,0,0,1,0,0,0,0,0,0,0,0
525,629,0,11520,1,0,0,0,0,Taragaman the Hungerer,2,0,0,0,1,0,0,0,0,0,0,0,0
526,630,0,3654,1,0,0,0,0,Mutanus the Devourer,2,0,0,0,1,0,0,0,0,0,0,0,0
527,631,0,46964,1,0,0,0,0,Lord Godfrey,2,0,0,0,1,0,0,0,0,0,0,0,0
528,632,0,4829,1,0,0,0,0,Aku'mai,2,0,0,0,1,0,0,0,0,0,0,0,0
529,633,0,46254,1,0,0,0,0,Hogger,2,0,0,0,1,0,0,0,0,0,0,0,0
530,634,0,7800,1,0,0,0,0,Mekgineer Thermaplugg,2,0,0,0,1,0,0,0,0,0,0,0,0
531,635,0,4421,1,0,0,0,0,Charlga Razorflank,2,0,0,0,1,0,0,0,0,0,0,0,0
532,636,0,7358,1,0,0,0,0,Amnennar the Coldbringer,2,0,0,0,1,0,0,0,0,0,0,0,0
537,637,0,4543,1,0,0,0,0,Bloodmage Thalnos,0,0,0,0,1,0,0,0,0,0,0,0,0
538,638,0,2748,1,0,0,0,0,Archaedas,2,0,0,0,1,0,0,0,0,0,0,0,0
539,639,0,7267,1,0,0,0,0,Chief Ukorz Sandscalp,2,0,0,0,1,0,0,0,0,0,0,0,0
540,640,0,12201,1,0,0,0,0,Princess Theradras,2,0,0,0,1,0,0,0,0,0,0,0,0
541,641,0,5709,1,0,0,0,0,Shade of Eranikus,2,0,0,0,1,0,0,0,0,0,0,0,0
542,642,0,9019,1,0,0,0,0,Emperor Dagran Thaurissan,2,0,0,0,1,0,0,0,0,0,0,0,0
544,643,0,9568,1,0,0,0,0,Overlord Wyrmthalak,2,0,0,0,1,0,0,0,0,0,0,0,0
545,644,0,11492,1,0,0,0,0,Alzzin the Wildshaper,0,0,0,0,1,0,0,0,0,0,0,0,0
548,645,0,10508,1,0,0,0,0,Ras Frostwhisper,0,0,0,0,1,0,0,0,0,0,0,0,0
550,646,0,10813,1,0,0,0,0,Balnazzar,0,0,0,0,1,0,0,0,0,0,0,0,0
552,647,0,17308,1,0,0,0,0,Omor the Unscarred,2,0,0,0,1,0,0,0,0,0,0,0,0
555,648,0,17377,1,0,0,0,0,Keli'dan the Breaker,2,0,0,0,1,0,0,0,0,0,0,0,0
556,649,0,17942,1,0,0,0,0,Quagmirran,2,0,0,0,1,0,0,0,0,0,0,0,0
557,650,0,17882,1,0,0,0,0,The Black Stalker,2,0,0,0,1,0,0,0,0,0,0,0,0
558,651,0,18344,1,0,0,0,0,Nexus-Prince Shaffar,2,0,0,0,1,0,0,0,0,0,0,0,0
559,652,0,18096,1,0,0,0,0,Epoch Hunter,2,0,0,0,1,0,0,0,0,0,0,0,0
560,653,0,18473,1,0,0,0,0,Talon King Ikiss,2,0,0,0,1,0,0,0,0,0,0,0,0
561,654,0,18708,1,0,0,0,0,Murmur,2,0,0,0,1,0,0,0,0,0,0,0,0
562,655,0,17881,1,0,0,0,0,Aeonus,2,0,0,0,1,0,0,0,0,0,0,0,0
563,656,0,17798,1,0,0,0,0,Warlord Kalithresh,2,0,0,0,1,0,0,0,0,0,0,0,0
564,657,0,16808,1,0,0,0,0,Warchief Kargath Bladefist,2,0,0,0,1,0,0,0,0,0,0,0,0
565,658,0,19220,1,0,0,0,0,Pathaleon the Calculator,2,0,0,0,1,0,0,0,0,0,0,0,0
566,659,0,17977,1,0,0,0,0,Warp Splinter,2,0,0,0,1,0,0,0,0,0,0,0,0
567,660,0,20912,1,0,0,0,0,Harbinger Skyriss,2,0,0,0,1,0,0,0,0,0,0,0,0
568,661,0,24664,1,0,0,0,0,Kael'thas Sunstrider,2,0,0,0,1,0,0,0,0,0,0,0,0
569,662,36,13584,1,0,0,0,0,Diablo Stone,2,0,0,0,1,0,0,0,0,0,0,0,0
570,663,36,13583,1,0,0,0,0,Panda Collar,2,0,0,0,1,0,0,0,0,0,0,0,0
571,664,36,13582,1,0,0,0,0,Zergling Leash,2,0,0,0,1,0,0,0,0,0,0,0,0
572,665,36,25535,1,0,0,0,0,Netherwhelp's Collar,2,0,0,0,1,0,0,0,0,0,0,0,0
573,666,0,18373,1,0,0,0,0,Exarch Maladaar,2,0,0,0,1,0,0,0,0,0,0,0,0
592,683,36,39286,1,0,0,0,0,Frosty's Collar,2,0,0,0,1,0,0,0,0,0,0,0,0
594,685,0,11583,1,0,0,0,0,Nefarian,2,0,0,0,1,0,0,0,0,0,0,0,0
595,686,0,11502,1,0,0,0,0,Ragnaros,2,0,0,0,1,0,0,0,0,0,0,0,0
596,687,0,15727,1,0,0,0,0,C'Thun,2,0,0,0,1,0,0,0,0,0,0,0,0
598,689,0,15339,1,0,0,0,0,Ossirian the Unscarred,2,0,0,0,1,0,0,0,0,0,0,0,0
599,690,0,15690,1,0,0,0,0,Prince Malchezaar,2,0,0,0,1,0,0,0,0,0,0,0,0
601,692,0,19044,1,0,0,0,0,Gruul the Dragonkiller,2,0,0,0,1,0,0,0,0,0,0,0,0
602,693,0,17257,1,0,0,0,0,Magtheridon,2,0,0,0,1,0,0,0,0,0,0,0,0
603,694,0,21212,1,0,0,0,0,Lady Vashj,2,0,0,0,1,0,0,0,0,0,0,0,0
604,695,0,17968,1,0,0,0,0,Archimonde,2,0,0,0,1,0,0,0,0,0,0,0,0
605,696,0,19622,1,0,0,0,0,Kael'thas Sunstrider,2,0,0,0,1,0,0,0,0,0,0,0,0
606,697,0,22917,1,0,0,0,0,Illidan Stormrage,2,0,0,0,1,0,0,0,0,0,0,0,0
607,698,0,25315,1,0,0,0,0,Kil'jaeden,2,0,0,0,1,0,0,0,0,0,0,0,0
608,699,32,562,1,0,0,0,0,Blade's Edge Arena,0,0,0,0,1,0,0,0,0,0,0,0,0
611,165,1,529,1,3,529,3,529,Arathi Basin Shutout,2,0,0,0,1,0,0,0,0,0,0,0,0
616,116,7,171,150,0,0,0,0,Alchemy,2,0,0,0,1,0,0,0,0,0,0,0,0
641,705,7,44,400,0,0,0,0,Axes,0,0,0,0,1,0,0,0,0,0,0,0,0
645,714,8,708,0,0,0,0,0,Hero of the Frostwolf Clan,0,0,0,0,1,0,0,0,0,0,0,0,0
707,433,44,14,0,0,0,0,0,Grand Marshal,2,0,0,0,1,0,0,0,0,0,0,0,0
708,434,44,13,0,0,0,0,0,Field Marshal,2,0,0,0,1,0,0,0,0,0,0,0,0
709,473,44,12,0,0,0,0,0,Marshal,2,0,0,0,1,0,0,0,0,0,0,0,0
710,435,44,11,0,0,0,0,0,Commander,2,0,0,0,1,0,0,0,0,0,0,0,0
711,436,44,10,0,0,0,0,0,Lieutenant Commander,2,0,0,0,1,0,0,0,0,0,0,0,0
712,437,44,9,0,0,0,0,0,Knight-Champion,2,0,0,0,1,0,0,0,0,0,0,0,0
713,438,44,8,0,0,0,0,0,Knight-Captain,2,0,0,0,1,0,0,0,0,0,0,0,0
714,472,44,7,0,0,0,0,0,Knight-Lieutenant,2,0,0,0,1,0,0,0,0,0,0,0,0
721,439,44,6,0,0,0,0,0,Knight,2,0,0,0,1,0,0,0,0,0,0,0,0
722,440,44,5,0,0,0,0,0,Sergeant Major,2,0,0,0,1,0,0,0,0,0,0,0,0
723,441,44,4,0,0,0,0,0,Master Sergeant,2,0,0,0,1,0,0,0,0,0,0,0,0
724,471,44,3,0,0,0,0,0,Sergeant,2,0,0,0,1,0,0,0,0,0,0,0,0
725,470,44,2,0,0,0,0,0,Corporal,2,0,0,0,1,0,0,0,0,0,0,0,0
726,442,44,1,0,0,0,0,0,Private,2,0,0,0,1,0,0,0,0,0,0,0,0
727,443,44,14,0,0,0,0,0,High Warlord,2,0,0,0,1,0,0,0,0,0,0,0,0
728,445,44,13,0,0,0,0,0,Warlord,2,0,0,0,1,0,0,0,0,0,0,0,0
729,446,44,12,0,0,0,0,0,General,2,0,0,0,1,0,0,0,0,0,0,0,0
730,444,44,11,0,0,0,0,0,Lieutenant General,2,0,0,0,1,0,0,0,0,0,0,0,0
731,447,44,10,0,0,0,0,0,Champion,2,0,0,0,1,0,0,0,0,0,0,0,0
732,448,44,9,0,0,0,0,0,Centurion,2,0,0,0,1,0,0,0,0,0,0,0,0
733,469,44,8,0,0,0,0,0,Legionnaire,2,0,0,0,1,0,0,0,0,0,0,0,0
734,449,44,7,0,0,0,0,0,Blood Guard,2,0,0,0,1,0,0,0,0,0,0,0,0
735,451,44,6,0,0,0,0,0,Stone Guard,2,0,0,0,1,0,0,0,0,0,0,0,0
736,452,44,5,0,0,0,0,0,First Sergeant,2,0,0,0,1,0,0,0,0,0,0,0,0
737,450,44,4,0,0,0,0,0,Senior Sergeant,2,0,0,0,1,0,0,0,0,0,0,0,0
738,453,44,3,0,0,0,0,0,Sergeant,2,0,0,0,1,0,0,0,0,0,0,0,0
739,468,44,2,0,0,0,0,0,Grunt,2,0,0,0,1,0,0,0,0,0,0,0,0
740,454,44,1,0,0,0,0,0,Scout,2,0,0,0,1,0,0,0,0,0,0,0,0
741,725,36,34334,1,0,0,0,0,"Thori'dal, the Stars' Fury",2,0,0,0,1,0,0,0,0,0,0,0,0
742,432,27,10888,1,0,0,0,0,Trial of the Naaru,2,0,0,0,1,0,0,0,0,0,0,0,0
744,431,27,10445,1,0,0,0,0,The Vials of Eternity,2,0,0,0,1,0,0,0,0,0,0,0,0
746,428,27,7787,1,0,0,0,0,"Thunderfury, Blessed Blade of the Windseeker",2,0,0,0,1,0,0,0,0,0,0,0,0
747,425,27,9269,1,0,0,0,0,"Atiesh, Greatstaff of the Guardian",2,0,0,0,1,0,0,0,0,0,0,0,0
752,546,45,0,7,0,0,0,0,Purchase 7 bank slots,1,0,0,0,1,0,0,0,0,0,0,0,0
758,201,1,489,1,0,0,3,489,Win Warsong Gulch in under 7 minutes,2,1,8563,420,1,0,0,0,0,0,0,0,0
759,700,36,18834,1,0,0,0,0,Insignia of the Horde,2,0,0,0,1,0,0,0,0,0,0,0,0
779,701,36,18863,1,0,0,0,0,Insignia of the Alliance,2,0,0,0,1,0,0,0,0,0,0,0,0
799,726,36,27445,1,0,0,0,0,Magical Crawdad Box,2,0,0,0,1,0,0,0,0,0,0,0,0
822,728,43,242,1,0,0,0,0,Valley of Trials,0,0,0,0,1,0,0,0,0,0,0,0,0
845,730,8,130,0,0,0,0,0,Grand Master Fisherman,0,0,0,0,1,0,0,0,0,0,0,0,0
903,736,43,2709,1,0,0,0,0,Red Cloud Mesa,0,0,0,0,1,0,0,0,0,0,0,0,0
917,750,43,461,1,0,0,0,0,Boulder Lode Mine,0,0,0,0,1,0,0,0,0,0,0,0,0
943,752,16,533,0,0,0,0,0,Deaths in Naxxramas,0,0,0,0,1,0,0,0,0,0,0,0,0
962,761,43,561,1,0,0,0,0,Circle of West Binding,0,0,0,0,1,0,0,0,0,0,0,0,0
977,522,47,0,1,0,0,0,0,Get a reputation to exalted,2,0,0,0,1,0,0,0,0,0,0,0,0
978,523,47,0,5,0,0,0,0,5 reputations to Exalted,1,0,0,0,1,0,0,0,0,0,0,0,0
979,524,47,0,10,0,0,0,0,10 reputations to Exalted,1,0,0,0,1,0,0,0,0,0,0,0,0
980,521,47,0,15,0,0,0,0,15 reputations to Exalted,1,0,0,0,1,0,0,0,0,0,0,0,0
981,520,47,0,20,0,0,0,0,20 reputations to Exalted,1,0,0,0,1,0,0,0,0,0,0,0,0
982,377,47,0,0,0,0,0,0,Exalted Reputations,0,0,0,0,1,0,0,0,0,0,0,0,0
984,519,47,0,25,0,0,0,0,25 reputations to Exalted,1,0,0,0,1,0,0,0,0,0,0,0,0
985,518,47,0,30,0,0,0,0,30 reputations to Exalted,1,0,0,0,1,0,0,0,0,0,0,0,0
986,710,46,510,42000,0,0,0,0,Exalted with The Defilers,2,0,0,0,1,0,0,0,0,0,0,0,0
987,711,46,509,42000,0,0,0,0,Exalted with The League of Arathor,2,0,0,0,1,0,0,0,0,0,0,0,0
988,712,46,889,42000,0,0,0,0,Exalted with Warsong Outriders,2,0,0,0,1,0,0,0,0,0,0,0,0
989,713,46,890,42000,0,0,0,0,Exalted with Silverwing Sentinels,2,0,0,0,1,0,0,0,0,0,0,0,0
