AreaName,LocLeft,LocTop,LocRight,LocBottom,Flags,MapID,DisplayMapID,AreaID,DefaultDungeonFloor,ParentWorldMapID,LevelRangeMin,LevelRangeMax,BountySetID,BountyDisplayLocation,ID,VisibilityPlayerConditionID
StormwindCity,1722.917,-7995.834,-14.583984,-9154.166,32,0,-1,1519,0,14,0,0,0,0,301,0
Orgrimmar,-3506.354,2486.6667,-5245.729,1327.0833,36,1,-1,1637,0,4,0,0,0,0,321,0
Ironforge,-713.5914,-4569.241,-1504.2164,-5096.8457,0,0,-1,1537,0,14,0,0,0,0,341,0
ThunderBluff,516.6666,-849.99994,-527.0833,-1545.8333,0,1,-1,1638,0,13,0,0,0,0,362,0
Darnassus,3187.5,10464.583,1647.9166,9437.5,32,1,-1,1657,0,13,0,0,0,0,381,0
Undercity,873.1926,1877.9453,-86.1824,1237.8412,0,0,-1,1497,0,14,0,0,0,0,382,0
AlteracValley,1781.2499,1085.4166,-2456.25,-1739.5833,0,30,-1,2597,0,0,0,0,0,0,401,0
WarsongGulch,2041.6666,1627.0833,895.8333,862.49994,0,489,-1,3277,0,0,0,0,0,0,443,0
ArathiBasin,1858.3333,1508.3333,102.08333,337.5,0,529,-1,3358,0,0,0,0,0,0,461,0
EversongWoods,-4487.5,11041.7,-9412.5,7758.33,0,530,0,3430,0,14,1,20,0,0,462,0
Ghostlands,-5283.33,8266.67,-8583.33,6066.67,0,530,0,3433,0,14,10,60,0,0,463,0
AzuremystIsle,-10500,-2793.75,-14570.8,-5508.33,0,530,1,3524,0,13,1,20,0,0,464,0
Hellfire,5539.58,1481.25,375,-1962.5,0,530,-1,3483,0,466,58,80,0,0,465,0
Expansion01,12996.039,5821.3594,-4468.039,-5821.3594,0,530,-1,0,0,0,0,0,0,0,466,0
Zangarmarsh,9475,1935.42,4447.92,-1416.67,0,530,-1,3521,0,466,60,80,0,0,467,0
TheExodar,-11066.367,-3609.6833,-12123.138,-4314.371,0,530,1,3557,0,13,0,0,0,0,471,0
ShadowmoonValley,4225,-1947.92,-1275,-5614.58,0,530,-1,3520,0,466,67,80,0,0,473,0
BladesEdgeMountains,8845.83,4408.33,3420.83,791.667,0,530,-1,3522,0,466,65,80,0,0,475,0
BloodmystIsle,-10075,-758.333,-13337.5,-2933.33,0,530,1,3525,0,13,10,60,0,0,476,0
Nagrand,10295.8,41.6667,4770.83,-3641.67,0,530,-1,3518,0,466,64,80,0,0,477,0
TerokkarForest,7083.33,-1000,1683.33,-4600,0,530,-1,3519,0,466,62,80,0,0,478,0
Netherstorm,5483.33,5456.25,-91.6667,1739.58,0,530,-1,3523,0,466,67,80,0,0,479,0
SilvermoonCity,-6400.75,10153.709,-7612.2085,9346.938,0,530,0,3487,0,14,0,0,0,0,480,0
ShattrathCity,6135.259,-1473.9545,4829.009,-2344.7878,0,530,-1,3703,0,466,0,0,0,0,481,0
NetherstormArena,2660.4165,2918.75,389.5833,1404.1666,0,566,-1,3820,0,0,0,0,0,0,482,0
Northrend,9217.15,10593.4,-8534.25,-1240.89,0,571,-1,0,0,0,0,0,0,0,485,0
BoreanTundra,8570.83,4897.92,2806.25,1054.17,0,571,-1,3537,0,485,58,80,0,0,486,0
Dragonblight,3627.08,5575,-1981.25,1835.42,0,571,-1,65,0,485,61,80,0,0,488,0
GrizzlyHills,-1110.42,5516.67,-6360.42,2016.67,0,571,-1,394,0,485,63,80,0,0,490,0
HowlingFjord,-1397.92,3116.67,-7443.75,-914.583,0,571,-1,495,0,485,58,80,0,0,491,0
IcecrownGlacier,5443.75,9427.08,-827.083,5245.83,0,571,-1,210,0,485,67,80,0,0,492,0
SholazarBasin,6929.17,7287.5,2572.92,4383.33,0,571,-1,3711,0,485,66,80,0,0,493,0
TheStormPeaks,1841.67,10197.9,-5270.83,5456.25,0,571,-1,67,0,485,67,80,0,0,495,0
ZulDrak,-600,7668.75,-5593.75,4339.58,0,571,-1,66,0,485,64,80,0,0,496,0
Sunwell,-5302.083,13568.749,-8629.166,11350,0,530,0,4080,0,14,0,0,0,0,499,0
LakeWintergrasp,4329.17,5716.67,1354.17,3733.33,0,571,-1,4197,0,485,67,80,0,0,501,0
ScarletEnclave,-4047.9165,3087.5,-7210.4165,979.1666,0,609,-1,4298,0,0,0,0,0,0,502,0
Dalaran,0,0,0,0,0,571,-1,4395,27,510,0,0,0,0,504,0
CrystalsongForest,1443.75,6502.08,-1279.17,4687.5,0,571,-1,2817,0,485,67,80,0,0,510,0
StrandoftheAncients,787.5,1883.3333,-956.24994,720.8333,0,607,-1,4384,0,0,0,0,0,0,512,0
TheNexus,0,0,0,0,0,576,-1,4265,0,486,0,0,0,0,520,0
CoTStratholme,2152.0833,2297.9165,327.0833,1081.25,260,595,-1,4100,0,161,0,0,0,0,521,0
Ahnkahet,-233.33333,849.99994,-1206.25,202.08333,0,619,-1,4494,0,488,0,0,0,0,522,0
UtgardeKeep,0,0,0,0,0,574,-1,206,0,491,0,0,0,0,523,0
UtgardePinnacle,3274.9998,2166.6665,-3274.9998,-2200,0,575,-1,1196,0,491,0,0,0,0,524,0
HallsofLightning,2500,2200,-899.99994,-66.666664,0,602,-1,4272,0,495,0,0,0,0,525,0
Ulduar77,2766.6665,2200,-633.3333,-66.666664,0,599,-1,4264,0,495,0,0,0,0,526,0
TheEyeofEternity,2766.6665,2200,-633.3333,-66.666664,0,616,-1,4500,0,486,0,0,0,0,527,0
Nexus80,2337.5,1956.2499,-262.5,222.91666,0,578,-1,4228,0,486,0,0,0,0,528,0
Ulduar,1583.3333,1168.75,-1704.1666,-1022.9166,260,603,-1,4273,0,495,0,0,0,0,529,0
Gundrak,1310.4166,2122.9165,166.66666,1360.4166,0,604,-1,4416,0,496,0,0,0,0,530,0
TheObsidianSanctum,1133.3333,3616.6665,-29.166666,2841.6665,0,615,-1,4493,0,488,0,0,0,0,531,0
VaultofArchavon,1033.3333,600,-1566.6666,-1133.3333,0,624,-1,4603,0,501,0,0,0,0,532,0
AzjolNerub,1020.8333,872.9166,-52.083332,158.33333,0,601,-1,4277,0,488,0,0,0,0,533,0
DrakTharonKeep,-377.0833,-168.75,-1004.1666,-587.5,0,600,-1,4196,0,496,0,0,0,0,534,0
Naxxramas,-2520.8333,3597.9165,-4377.083,2360.4165,0,533,-1,3456,0,488,0,0,0,0,535,0
VioletHold,983.3333,2006.2499,600,1749.9999,0,608,-1,4415,0,504,0,0,0,0,536,0
Gilneas,3439.58,-533.333,293.75,-2631.25,0,638,-1,4714,0,0,0,0,0,0,539,0
IsleofConquest,525,1708.3333,-2125,-58.333332,0,628,-1,4710,0,0,0,0,0,0,540,0
HrothgarsLanding,2797.92,10781.3,-879.167,8329.17,0,571,-1,4742,0,485,67,80,0,0,541,0
TheArgentColiseum,2100,2200,-499.99997,466.66666,0,650,-1,4723,0,492,0,0,0,0,542,0
TheArgentColiseum,2100,2200,-500,466.667,0,649,-1,4722,94,492,0,0,0,0,543,0
TheLostIsles,4383.33,2881.25,-131.25,-129.167,16,648,-1,4720,0,751,1,20,0,0,544,0
Gilneas,3439.58,-533.333,293.75,-2631.25,1088,654,-1,4714,0,14,1,20,0,0,545,0
TheForgeofSouls,7033.333,6466.6665,-4366.6665,-1133.3333,0,632,-1,4809,0,492,0,0,0,0,601,0
PitofSaron,839.5833,1256.25,-693.75,233.33333,0,658,-1,4813,0,492,0,0,0,0,602,0
HallsofReflection,7033.333,6466.6665,-5966.6665,-2200,0,668,-1,4820,102,492,0,0,0,0,603,0
IcecrownCitadel,6366.6665,5933.333,-5833.333,-2200,0,631,-1,4812,0,492,0,0,0,0,604,0
Kezan,2129.17,-7731.25,777.083,-8631.25,16,648,-1,4737,0,751,1,20,0,0,605,0
Hyjal,-929.167,6195.83,-5175,3364.58,0,1,-1,616,0,13,80,90,0,0,606,0
SouthernBarrens,1356.25,204.167,-6056.25,-4737.5,0,1,-1,4709,0,13,25,60,0,0,607,0
TheRubySanctum,902.0833,3429.1665,150,2927.0833,0,724,-1,4987,0,488,0,0,0,0,609,0
VashjirKelpForest,5070.833,-4018.7498,2268.75,-5887.5,0,0,-1,4815,0,613,0,0,0,0,610,0
GilneasCity,1933.3333,-1306.25,1043.75,-1899.9999,0,654,-1,4755,0,545,0,0,0,0,611,0
Vashjir,8754.17,-3720.83,1808.33,-8352.08,0,0,-1,5146,0,14,80,90,0,0,613,0
VashjirDepths,8233.333,-4906.25,4158.333,-7622.9165,0,0,-1,5145,0,613,0,0,0,0,614,0
VashjirRuins,6681.2495,-4756.25,1831.2499,-7989.583,0,0,-1,5144,0,613,0,0,0,0,615,0
TwinPeaks,931.24994,2266.6665,-283.3333,1456.25,0,726,-1,5031,0,0,0,0,0,0,626,0
Deepholm,3052.08,2795.83,-2047.92,-604.167,16,646,-1,5042,0,751,82,90,0,0,640,0
TheCapeOfStranglethorn,2108.33,-12516.7,-1837.5,-15147.9,0,0,-1,5287,0,14,30,60,0,0,673,0
BattleforGilneas,1933.3333,-1306.25,1043.75,-1899.9999,0,728,-1,5108,0,0,0,0,0,0,677,0
Gilneas_terrain1,3439.58,-533.333,293.75,-2631.25,66,654,-1,4714,0,14,1,20,0,0,678,0
Gilneas_terrain2,3439.58,-533.333,293.75,-2631.25,66,654,-1,4714,0,14,1,20,0,0,679,0
Ragefire,0,0,0,0,0,389,-1,2437,0,321,0,0,0,0,680,0
TheLostIsles_terrain1,4383.33,2881.25,-131.25,-129.167,18,648,-1,4720,0,751,1,20,0,0,681,0
TheLostIsles_terrain2,4383.33,2881.25,-131.25,-129.167,18,648,-1,4720,0,751,1,20,0,0,682,0
Hyjal_terrain1,-929.167,6195.83,-5175,3364.58,2,1,-1,616,0,13,80,90,0,0,683,0
RuinsofGilneas,3439.5833,-533.3333,293.75,-2631.25,0,0,-1,4706,0,14,0,0,0,0,684,0
RuinsofGilneasCity,1933.3333,-1306.25,1043.75,-1899.9999,32,0,-1,5351,0,14,0,0,0,0,685,0
ZulFarrak,1624.9999,2052.0833,241.66666,1129.1666,0,209,-1,1176,0,161,0,0,0,0,686,0
TheTempleOfAtalHakkar,0,0,0,0,0,109,-1,1477,0,38,0,0,0,0,687,0
BlackfathomDeeps,0,0,0,0,0,48,-1,719,0,43,0,0,0,0,688,0
StranglethornVale,2977.08,-10964.6,-3575,-15333.3,0,0,-1,5339,0,14,25,60,0,0,689,0
TheStockade,0,0,0,0,0,34,-1,717,0,301,0,0,0,0,690,0
Gnomeregan,0,0,0,0,0,90,-1,721,0,27,0,0,0,0,691,0
Uldaman,0,0,0,0,0,70,-1,1337,0,17,0,0,0,0,692,0
MoltenCore,0,0,0,0,0,409,-1,2717,0,29,0,0,0,0,696,0
ZulGurub,-693.75,-11308.333,-2570.8333,-12560.416,0,309,-1,1977,0,0,0,0,0,0,697,0
DireMaul,0,0,0,0,0,429,-1,2557,0,121,0,0,0,0,699,0
TwilightHighlands,-2437.5,-2156.25,-7708.33,-5670.83,0,0,-1,4922,0,14,84,90,0,0,700,0
BlackrockDepths,0,0,0,0,0,230,-1,1584,0,28,0,0,0,0,704,0
TolBarad,2010.4166,-560.4166,-4.1666665,-1904.1666,0,732,0,5095,0,0,84,85,0,0,708,0
TolBaradDailyArea,2412.5,377.0833,575,-847.9166,0,732,0,5389,0,0,85,85,0,0,709,0
TheShatteredHalls,0,0,0,0,0,540,-1,3714,0,465,0,0,0,0,710,0
RuinsofAhnQiraj,3035.4165,-8233.333,522.9166,-9908.333,0,509,-1,3429,0,261,0,0,0,0,717,0
OnyxiasLair,0,0,0,0,0,249,-1,2159,0,141,0,0,0,0,718,0
Uldum,2441.67,-8029.17,-3752.08,-12158.3,0,1,-1,5034,0,13,83,90,0,0,720,0
BlackrockSpire,0,0,0,0,0,229,-1,1583,0,29,0,0,0,0,721,0
AuchenaiCrypts,0,0,0,0,0,558,-1,3790,0,478,0,0,0,0,722,0
SethekkHalls,0,0,0,0,0,556,-1,3791,0,478,0,0,0,0,723,0
ShadowLabyrinth,0,0,0,0,0,555,-1,3789,0,478,0,0,0,0,724,0
TheBloodFurnace,0,0,0,0,0,542,-1,3713,0,465,0,0,0,0,725,0
TheUnderbog,0,0,0,0,0,546,-1,3716,0,467,0,0,0,0,726,0
TheSteamvault,0,0,0,0,0,545,-1,3715,0,467,0,0,0,0,727,0
TheSlavePens,0,0,0,0,0,547,-1,3717,0,467,0,0,0,0,728,0
TheBotanica,0,0,0,0,0,553,-1,3847,0,479,0,0,0,0,729,0
TheMechanar,0,0,0,0,0,554,-1,3849,0,479,0,0,0,0,730,0
TheArcatraz,0,0,0,0,0,552,-1,3848,0,479,0,0,0,0,731,0
ManaTombs,0,0,0,0,0,557,-1,3792,0,478,0,0,0,0,732,0
CoTTheBlackMorass,7649.9995,-1500,6562.4995,-2225,0,269,-1,2366,0,0,0,0,0,0,733,0
CoTHillsbradFoothills,1854.1666,3127.0833,-477.0833,1572.9166,0,560,-1,2367,0,0,0,0,0,0,734,0
GilneasBattleground2,1745.8333,1604.1666,443.74997,735.4166,0,761,-1,5449,0,0,0,0,0,0,736,0
TheMaelstrom,1556.25,1370.83,6.25,337.5,16,730,-1,5416,0,751,0,0,0,0,737,0
LostCityofTolvir,-1004.1666,-10591.666,-1974.9999,-11239.583,2,755,-1,5396,0,720,0,0,0,0,747,0
Uldum_terrain1,2441.67,-8029.17,-3752.08,-12158.3,2,1,-1,5034,0,13,83,90,0,0,748,0
WailingCaverns,0,0,0,0,0,43,-1,718,0,11,0,0,0,0,749,0
Maraudon,0,0,0,0,0,349,-1,2100,0,101,0,0,0,0,750,0
TheMaelstromContinent,0,0,0,0,8,-1,-1,5630,0,0,0,0,0,0,751,0
BaradinHold,2633.3333,1133.3333,33.333332,-600,0,757,-1,5600,0,708,0,0,0,0,752,0
BlackrockCaverns,2100,1133.3333,-499.99997,-600,0,645,-1,4926,0,29,0,0,0,0,753,0
BlackwingDescent,1033.3333,600,-1566.6666,-1133.3333,0,669,-1,5094,0,29,0,0,0,0,754,0
BlackwingLair,633.3333,-6333.333,-2766.6665,-8600,0,469,-1,2677,0,29,0,0,0,0,755,0
TheDeadmines,1966.6666,1133.3333,-3033.3333,-2200,0,36,-1,1581,0,39,0,0,0,0,756,0
GrimBatol,1166.6666,600,-2233.3333,-1666.6666,0,670,-1,4950,0,700,0,0,0,0,757,0
TheBastionofTwilight,1166.6666,600,-2233.3333,-1666.6666,0,671,-1,5334,0,700,0,0,0,0,758,0
HallsofOrigination,2366.6665,600,-1833.3333,-2200,0,644,-1,4945,0,720,0,0,0,0,759,0
RazorfenDowns,2766.6665,3266.6665,-633.3333,999.99994,0,129,-1,722,0,61,0,0,0,0,760,0
RazorfenKraul,2766.6665,2733.3333,966.6666,1533.3333,0,47,-1,491,0,607,0,0,0,0,761,0
ScarletMonastery,1508.333,1918.75,-800,379.16602,0,189,-1,796,0,20,0,0,0,0,762,0
Scholomance,633.3333,600,-1166.6666,-600,0,289,-1,2057,0,22,0,0,0,0,763,0
ShadowfangKeep,4500,1133.3333,300,-1666.6666,0,33,-1,209,0,21,0,0,0,0,764,0
Stratholme,-1766.6666,4333.333,-5166.6665,2066.6665,0,329,-1,2017,0,23,0,0,0,0,765,0
AhnQiraj,3033.3333,-7933.333,1233.3333,-9133.333,0,531,-1,3428,192,261,0,0,0,0,766,0
ThroneofTides,2100,600,-499.99997,-1133.3333,0,643,-1,5004,0,614,0,0,0,0,767,0
TheStonecore,2766.6665,2200,-633.3333,-66.666664,0,725,-1,5088,0,640,0,0,0,0,768,0
Skywall,2366.6665,600,-1833.3333,-2200,0,657,-1,5035,0,720,0,0,0,0,769,0
TwilightHighlands_terrain1,-2437.5,-2156.25,-7708.33,-5670.83,2,0,-1,4922,0,14,84,90,0,0,770,0
AhnQirajTheFallenKingdom,3891.6665,-8033.333,-158.33333,-10733.333,0,1,-1,5695,0,13,0,0,0,0,772,0
ThroneoftheFourWinds,2100,600,-499.99997,-1133.3333,0,754,-1,5638,0,720,0,0,0,0,773,0
CoTMountHyjal,-1525,6145.833,-4024.9998,4479.1665,0,534,-1,3606,0,0,0,0,0,0,775,0
GruulsLair,0,0,0,0,0,565,-1,3923,0,475,0,0,0,0,776,0
MagtheridonsLair,0,0,0,0,0,544,-1,3836,0,465,0,0,0,0,779,0
CoilfangReservoir,0,0,0,0,0,548,-1,3607,0,467,0,0,0,0,780,0
ZulAman,1852.0833,568.75,583.3333,-277.0833,0,568,-1,3805,0,463,0,0,0,0,781,0
TempestKeep,0,0,0,0,0,550,-1,3845,0,479,0,0,0,0,782,0
SunwellPlateau,1206.25,2012.5,300,1408.33,260,580,-1,4075,0,893,70,80,0,0,789,0
ZulGurub,-612.5,-11225,-2733.3333,-12639.583,0,859,-1,1977,0,37,0,0,0,0,793,0
MoltenFront,933.3333,1702.0833,-256.25,908.3333,0,861,-1,5733,0,606,0,0,0,0,795,0
BlackTemple,1150,949.99994,366.66666,427.0833,4,564,-1,3959,0,473,0,0,0,0,796,0
HellfireRamparts,1935.4166,-1041.6666,1277.0833,-1479.1666,0,543,-1,3562,0,465,0,0,0,0,797,0
MagistersTerrace,249.99998,325,-297.91666,-39.583332,0,585,-1,4131,0,499,0,0,0,0,798,0
Karazhan,-1191.6666,-10389.583,-2950,-11562.5,0,532,-1,3457,0,32,0,0,0,0,799,0
Firelands,718.75,424.99997,-868.74994,-633.3333,260,720,-1,5723,0,606,0,0,0,0,800,0
TheNexusLegendary,0,0,0,0,0,951,-1,5786,0,486,0,0,0,0,803,0
TheJadeForest,1452.08,3652.08,-5531.25,-1002.08,0,870,-1,5785,0,862,80,90,0,0,806,0
ValleyoftheFourWinds,2679.17,1095.83,-1245.83,-1520.83,0,870,-1,5805,0,862,81,90,0,0,807,0
TheWanderingIsle,4979.17,1785.42,2308.33,6.25,64,860,-1,5736,0,0,1,20,0,0,808,0
KunLaiSummit,4839.58,5618.75,-1418.75,1445.83,0,870,-1,5841,0,862,82,90,0,0,809,0
TownlongWastes,7079.17,4558.33,1335.42,729.167,0,870,-1,5842,0,862,83,90,0,0,810,0
ValeofEternalBlossoms,2481.25,1947.92,-52.084,260.416,0,870,-1,5840,0,862,85,90,0,0,811,0
NetherstormArena,2660.4165,2918.75,389.5833,1404.1666,0,968,-1,5799,0,0,0,0,0,0,813,0
WellofEternity,-4650,3766.6665,-5902.083,2933.3333,0,939,-1,5788,0,161,0,0,0,0,816,0
HourofTwilight,1791.6666,5327.083,-1252.0833,3297.9165,260,940,-1,5844,0,161,0,0,0,0,819,0
EndTime,2260.4165,4697.9165,-1035.4166,2500,4,938,-1,5789,0,161,0,0,0,0,820,0
DarkmoonFaireIsland,7268.75,-3322.916,5410.416,-4562.5,0,974,-1,5861,0,0,0,0,0,0,823,0
DragonSoul,-833.5928,-565.0928,-3940.3013,-2628.158,260,967,-1,5892,0,161,0,0,0,0,824,0
DustwallowMarshScenario,-3979.166,-3468.75,-5037.5,-4175,0,999,-1,6040,0,141,0,0,0,0,851,0
TempleofKotmogu,1743.75,2083.333,904.167,1522.917,0,998,-1,6051,0,0,0,0,0,0,856,0
Krasarang,2947.92,-110.416,-1739.58,-3235.42,0,870,-1,6134,0,862,81,90,0,0,857,0
DreadWastes,6139.58,1416.67,787.5,-2152.08,0,870,-1,6138,0,862,84,90,0,0,858,0
STVDiamondMineBG,1320.833,1495.833,-929.166,-4.1660156,64,727,-1,6126,0,689,0,0,0,0,860,0
Pandaria,8752.86,6679.16,-6762.44,-3664.38,0,870,-1,0,0,0,0,0,0,0,862,0
Northshire,187.5,-8570.83,-781.25,-9216.67,0,0,-1,6170,0,30,0,0,0,0,864,0
ColdridgeValley,979.167,-5962.5,14.583984,-6606.25,0,0,-1,6176,0,27,0,0,0,0,866,0
EastTemple,-2154.166,1197.917,-2918.75,687.5,0,960,-1,5956,0,806,0,0,0,0,867,0
ScarletHalls,977.083,1372.917,60.416016,762.5,0,1001,-1,6052,639,20,0,0,0,0,871,0
TheHiddenPass,812.5,1689.583,-981.25,493.75,0,870,-1,6006,0,862,0,0,0,0,873,0
ScarletCathedral,2233.333,2200,-1166.666,-66.666016,0,1004,-1,6109,641,20,0,0,0,0,874,0
TheGreatWall,3133.333,1666.667,1333.333,466.66602,0,962,-1,5976,649,811,0,0,0,0,875,0
StormstoutBrewery,1664.583,-458.33398,814.583,-1025,0,961,-1,5963,0,807,0,0,0,0,876,0
ShadowpanHideout,3362.5,4210.417,2300,3502.083,4,959,-1,5918,0,809,0,0,0,0,877,0
BrewmasterScenario01,-875,2389.583,-1343.75,2077.083,0,1005,-1,6101,0,806,0,0,0,0,878,0
TheJadeForestScenario,-1397.916,2372.917,-2322.916,1756.25,0,1024,-1,6209,0,806,0,0,0,0,880,0
ValleyOfPowerScenario,1743.75,2083.333,904.167,1522.917,0,1035,-1,6449,0,811,0,0,0,0,881,0
BrewmasterScenario03,1220.833,-2564.584,314.58398,-3168.75,0,1048,-1,6309,0,857,0,0,0,0,882,0
Tyrivess,5616.666,-252.08398,2933.333,-2041.666,0,1050,-1,6328,0,858,0,0,0,0,883,0
KunLaiPassScenario,747.917,2216.667,-222.91602,1568.75,0,1051,-1,6426,0,809,0,0,0,0,884,0
MogushanPalace,-700,-3133.334,-4100,-5400,0,994,-1,6182,0,811,0,0,0,0,885,0
TerraceOfEndlessSpring,-2497.916,-789.584,-3200,-1258.334,0,996,-1,6067,0,873,0,0,0,0,886,0
SiegeofNiuzaoTemple,5762.5,2029.167,4747.916,1352.083,4,1011,-1,6214,0,810,0,0,0,0,887,0
ShadowglenStart,1491.667,11033.333,41.666016,10066.666,0,1,-1,6450,0,41,0,0,0,0,888,0
ValleyofTrialsStart,-3641.666,0,-4991.666,-900,0,1,-1,6451,0,4,0,0,0,0,889,0
CampNaracheStart,233.33398,-2577.084,-1533.334,-3754.166,0,1,-1,6452,0,9,0,0,0,0,890,0
EchoIslesStart,-4491.666,-525,-6297.916,-1729.166,0,1,-1,6453,0,4,0,0,0,0,891,0
DeathknellStart,2147.917,2270.833,1058.333,1543.75,0,0,-1,6454,0,20,0,0,0,0,892,0
SunstriderIsleStart,-5383.334,10833.333,-6983.334,9766.666,0,530,0,6455,0,462,0,0,0,0,893,0
AmmenValeStart,-12814.582,-3604.166,-14633.332,-4816.666,0,530,1,6456,0,464,0,0,0,0,894,0
NewTinkertownStart,1206.25,-4727.084,-643.75,-5960.416,0,0,-1,6457,0,27,0,0,0,0,895,0
MogushanVaults,2633.333,4866.666,33.333984,3133.333,0,1008,-1,6125,0,811,0,0,0,0,896,0
HeartofFear,1279.167,-1714.584,-243.75,-2729.166,0,1009,-1,6297,0,858,0,0,0,0,897,0
Scholomance,1597.917,1612.5,-1708.334,-591.666,0,1007,-1,6066,0,22,0,0,0,0,898,0
ProvingGrounds,902.083,4008.333,145.83398,3504.167,0,1148,-1,6852,0,809,0,0,0,0,899,0
AncientMoguCrypt,3587.5,1608.333,1175,0,0,1030,-1,6208,0,809,0,0,0,0,900,0
ShrineofTwoMoons,0,0,0,0,512,870,-1,6141,668,811,0,0,0,0,903,0
ShrineofSevenStars,0,0,0,0,512,870,-1,6142,670,811,0,0,0,0,905,0
DustwallowMarshScenarioAlliance,-3979.166,-3468.75,-5037.5,-4175,0,1000,-1,6500,0,141,0,0,0,0,906,0
